pollutant,run,level,replicate,sample_id,value
o3,corrida_2,120-nmol/mol,2,2,119.8904075
o3,corrida_2,120-nmol/mol,2,3,119.7416099
o3,corrida_2,120-nmol/mol,2,4,119.9024054
o3,corrida_3,180-nmol/mol,1,1,177.6374232
o3,corrida_3,180-nmol/mol,1,2,178.7509531
o3,corrida_3,180-nmol/mol,1,3,178.8632792
o3,corrida_3,180-nmol/mol,1,4,178.0478628
o3,corrida_3,180-nmol/mol,2,1,178.0355977
o3,corrida_3,180-nmol/mol,2,2,178.8410595
o3,corrida_3,180-nmol/mol,2,3,178.3740662
o3,corrida_3,180-nmol/mol,2,4,178.3332013
o3,corrida_4,40-nmol/mol,1,1,40.41232463
o3,corrida_4,40-nmol/mol,1,2,40.40178993
o3,corrida_4,40-nmol/mol,1,3,40.65601055
o3,corrida_4,40-nmol/mol,1,4,40.41514996
o3,corrida_4,40-nmol/mol,2,1,40.65162664
o3,corrida_4,40-nmol/mol,2,2,40.58658976
o3,corrida_4,40-nmol/mol,2,3,40.45360099
o3,corrida_4,40-nmol/mol,2,4,40.65140083
o3,corrida_5,80-nmol/mol,1,1,80.00558399
o3,corrida_5,80-nmol/mol,1,2,80.19802471
o3,corrida_5,80-nmol/mol,1,3,79.75691729
o3,corrida_5,80-nmol/mol,1,4,80.07616674
o3,corrida_5,80-nmol/mol,2,1,79.99473044
o3,corrida_5,80-nmol/mol,2,2,80.09170218
o3,corrida_5,80-nmol/mol,2,3,80.33274862
o3,corrida_5,80-nmol/mol,2,4,80.10091823
so2,corrida_1,0-nmol/mol,1,1,0.05245283019
so2,corrida_1,0-nmol/mol,1,2,0.0679245283
so2,corrida_1,0-nmol/mol,1,3,0.07490566038
so2,corrida_1,0-nmol/mol,1,4,0.05226415094
so2,corrida_1,0-nmol/mol,2,1,0.0479245283
so2,corrida_1,0-nmol/mol,2,2,0.04452830189
so2,corrida_1,0-nmol/mol,2,3,0.06037735849
so2,corrida_1,0-nmol/mol,2,4,0.04452830189
so2,corrida_2,100-nmol/mol,1,1,99.6060313
so2,corrida_2,100-nmol/mol,1,2,99.4550428
so2,corrida_2,100-nmol/mol,1,3,99.26042804
so2,corrida_2,100-nmol/mol,1,4,99.40877876
so2,corrida_2,100-nmol/mol,2,1,99.63343365
so2,corrida_2,100-nmol/mol,2,2,99.63373729
so2,corrida_2,100-nmol/mol,2,3,99.40622124
so2,corrida_2,100-nmol/mol,2,4,99.18625067
so2,corrida_3,140-nmol/mol,1,1,139.0052577
so2,corrida_3,140-nmol/mol,1,2,139.0053326
so2,corrida_3,140-nmol/mol,1,3,138.9849296
so2,corrida_3,140-nmol/mol,1,4,139.0728245
so2,corrida_3,140-nmol/mol,2,1,139.0125055
so2,corrida_3,140-nmol/mol,2,2,138.9346984
so2,corrida_3,140-nmol/mol,2,3,139.2221426
so2,corrida_3,140-nmol/mol,2,4,139.1151014
so2,corrida_4,180-nmol/mol,1,1,180.6249616
so2,corrida_4,180-nmol/mol,1,2,180.2026091
so2,corrida_4,180-nmol/mol,1,3,180.7652862
so2,corrida_4,180-nmol/mol,1,4,180.4412108
so2,corrida_4,180-nmol/mol,2,1,180.653005
so2,corrida_4,180-nmol/mol,2,2,180.505533
so2,corrida_4,180-nmol/mol,2,3,180.5466078
