"pollutant","level","replicate","sample_id","value"
"co","8-ppm",1,6,7.98573529411765
"co","8-ppm",1,7,7.97839215686275
"co","8-ppm",1,8,7.99216666666667
"co","8-ppm",1,9,7.9841568627451
"co","8-ppm",1,10,8.09722826086957
"co","8-ppm",2,1,8.10189130434783
"co","8-ppm",2,2,8.09526086956522
"co","8-ppm",2,3,7.97974509803922
"co","8-ppm",2,4,7.97087254901961
"co","8-ppm",2,5,7.98279411764706
"co","8-ppm",2,6,7.97833333333333
"co","8-ppm",2,7,8.09990217391304
"co","8-ppm",2,8,8.10288043478261
"co","8-ppm",2,9,7.97582352941176
"co","8-ppm",2,10,7.98958823529412
"no","0-ppb",1,1,0.839318181818182
"no","0-ppb",1,2,0.625909090909091
"no","0-ppb",1,3,0.453611111111111
"no","0-ppb",1,4,0.797272727272727
"no","0-ppb",1,5,0.466055555555556
"no","0-ppb",1,6,0.776818181818182
"no","0-ppb",1,7,0.482045454545455
"no","0-ppb",1,8,0.483444444444444
"no","0-ppb",1,9,0.439777777777778
"no","0-ppb",1,10,0.502954545454545
"no","0-ppb",2,1,0.440944444444444
"no","0-ppb",2,2,0.663522727272727
"no","0-ppb",2,3,0.460722222222222
"no","0-ppb",2,4,0.767045454545455
"no","0-ppb",2,5,0.797386363636364
"no","0-ppb",2,6,0.474333333333333
"no","0-ppb",2,7,0.799772727272727
"no","0-ppb",2,8,0.4785
"no","0-ppb",2,9,0.770568181818182
"no","0-ppb",2,10,0.590681818181818
"no","121-ppb",1,1,120.379841897233
"no","121-ppb",1,2,120.349011857708
"no","121-ppb",1,3,120.328458498024
"no","121-ppb",1,4,120.401976284585
"no","121-ppb",1,5,120.384980237154
"no","121-ppb",1,6,120.366403162055
"no","121-ppb",1,7,120.425691699605
"no","121-ppb",1,8,120.275494071146
"no","121-ppb",1,9,120.329644268775
"no","121-ppb",1,10,120.326877470356
"no","121-ppb",2,1,120.328853754941
"no","121-ppb",2,2,120.265612648221
"no","121-ppb",2,3,120.326877470356
"no","121-ppb",2,4,120.490513833992
"no","121-ppb",2,5,120.381027667984
"no","121-ppb",2,6,120.31185770751
"no","121-ppb",2,7,120.324110671937
"no","121-ppb",2,8,120.442292490119
"no","121-ppb",2,9,120.332015810277
"no","121-ppb",2,10,120.314229249012
"no","122-ppb",1,1,40.7201162790698
"no","122-ppb",1,2,40.735
"no","122-ppb",1,3,40.783023255814
"no","122-ppb",1,4,40.7681395348837
"no","122-ppb",1,5,40.7555813953488
"no","122-ppb",1,6,40.698023255814
"no","122-ppb",1,7,40.7341860465116
"no","122-ppb",1,8,40.7105813953488
"no","122-ppb",1,9,40.7558139534884
"no","122-ppb",1,10,40.6823255813953
"no","122-ppb",2,1,40.7127906976744
"no","122-ppb",2,2,40.7167441860465
"no","122-ppb",2,3,40.7026744186047
"no","122-ppb",2,4,40.8493023255814
"no","122-ppb",2,5,40.7520930232558
"no","122-ppb",2,6,40.7477906976744
"no","122-ppb",2,7,40.6960465116279
"no","122-ppb",2,8,40.793488372093
"no","122-ppb",2,9,40.8395348837209
"no","122-ppb",2,10,40.7031395348837
"no","180-ppb",1,1,182.312871287129
"no","180-ppb",1,2,182.50198019802
"no","180-ppb",1,3,181.964444444444
"no","180-ppb",1,4,182.008888888889
"no","180-ppb",1,5,181.95
"no","180-ppb",1,6,181.996666666667
"no","180-ppb",1,7,182.337623762376
"no","180-ppb",1,8,182.047777777778
"no","180-ppb",1,9,182.408910891089
"no","180-ppb",1,10,182.03
"no","180-ppb",2,1,182.06
"no","180-ppb",2,2,182.513861386139
"no","180-ppb",2,3,182.428712871287
"no","180-ppb",2,4,182.343564356436
"no","180-ppb",2,5,182.535643564356
"no","180-ppb",2,6,182.468316831683
"no","180-ppb",2,7,182.517821782178
"no","180-ppb",2,8,182.560396039604
"no","180-ppb",2,9,181.947777777778
"no","180-ppb",2,10,182.482178217822
"no","181-ppb",1,1,180.180434782609
"no","181-ppb",1,2,180.20652173913
"no","181-ppb",1,3,180.307608695652
"no","181-ppb",1,4,180.173913043478
"no","181-ppb",1,5,180.260869565217
"no","181-ppb",1,6,180.238043478261
"no","181-ppb",1,7,180.226086956522
"no","181-ppb",1,8,180.116304347826
"no","181-ppb",1,9,180.14347826087
"no","181-ppb",1,10,180.258695652174
"no","181-ppb",2,1,180.21847826087
"no","181-ppb",2,2,180.184782608696
"no","181-ppb",2,3,180.234782608696
"no","181-ppb",2,4,180.369565217391
"no","181-ppb",2,5,180.210869565217
"no","181-ppb",2,6,180.202173913043
"no","181-ppb",2,7,180.297826086957
"no","181-ppb",2,8,180.257608695652
"no","181-ppb",2,9,180.091304347826
"no","181-ppb",2,10,180.171739130435
"no","182-ppb",1,1,76.0182278481013
"no","182-ppb",1,2,76.0312658227848
"no","182-ppb",1,3,76.5222784810127
"no","182-ppb",1,4,76.3781012658228
"no","182-ppb",1,5,75.9046835443038
"no","182-ppb",1,6,76.6788607594937
"no","182-ppb",1,7,76.4240506329114
"no","182-ppb",1,8,76.546835443038
"no","182-ppb",1,9,75.8605063291139
"no","182-ppb",1,10,76.6243037974684
"no","182-ppb",2,1,75.8377215189873
"no","182-ppb",2,2,75.7160759493671
"no","182-ppb",2,3,76.1583544303797
"no","182-ppb",2,4,76.1235443037975
"no","182-ppb",2,5,75.8315189873418
"no","182-ppb",2,6,76.1583544303797
"no","182-ppb",2,7,75.6332911392405
"no","182-ppb",2,8,75.7044303797468
"no","182-ppb",2,9,76.2613924050633
"no","182-ppb",2,10,76.5198734177215
"no","42-ppb",1,1,24.2535882352941
"no","42-ppb",1,2,22.0098235294118
"no","42-ppb",1,3,25.8674117647059
"no","42-ppb",1,4,24.0659411764706
"no","42-ppb",1,5,24.9274705882353
"no","42-ppb",1,6,25.8413529411765
"no","42-ppb",1,7,24.1737058823529
"no","42-ppb",1,8,24.212
"no","42-ppb",1,9,26.5019411764706
"no","42-ppb",1,10,23.4962941176471
"no","42-ppb",2,1,25.9887058823529
"no","42-ppb",2,2,25.2569411764706
"no","42-ppb",2,3,23.6958823529412
"no","42-ppb",2,4,25.6374705882353
"no","42-ppb",2,5,24.9139411764706
"no","42-ppb",2,6,24.9017058823529
"no","42-ppb",2,7,25.6390588235294
"no","42-ppb",2,8,25.1004705882353
"no","42-ppb",2,9,24.5288823529412
"no","42-ppb",2,10,24.7543529411765
"no","81-ppb",1,1,80.7765384615385
"no","81-ppb",1,2,80.72
"no","81-ppb",1,3,80.7130769230769
"no","81-ppb",1,4,80.7001923076923
"no","81-ppb",1,5,80.8038461538462
"no","81-ppb",1,6,80.7171153846154
"no","81-ppb",1,7,80.6544230769231
"no","81-ppb",1,8,80.7305769230769
"no","81-ppb",1,9,80.6163461538462
"no","81-ppb",1,10,80.6778846153846
"no","81-ppb",2,1,80.7440384615385
"no","81-ppb",2,2,80.6934615384615
"no","81-ppb",2,3,80.6075
"no","81-ppb",2,4,80.6663461538461
"no","81-ppb",2,5,80.6861538461538
"no","81-ppb",2,6,80.6851923076923
"no","81-ppb",2,7,80.7317307692308
"no","81-ppb",2,8,80.6690384615385
"no","81-ppb",2,9,80.6438461538462
"no","81-ppb",2,10,80.6686538461538
"no","82-ppb",1,1,25.6391208791209
"no","82-ppb",1,2,25.6478021978022
"no","82-ppb",1,3,25.667032967033
"no","82-ppb",1,4,25.8576923076923
"no","82-ppb",1,5,25.8382417582418
"no","82-ppb",1,6,25.6412087912088
"no","82-ppb",1,7,25.7808791208791
"no","82-ppb",1,8,25.6310989010989
"no","82-ppb",1,9,25.6893406593407
"no","82-ppb",1,10,25.8008791208791
"no","82-ppb",2,1,25.8612087912088
"no","82-ppb",2,2,25.7647252747253
"no","82-ppb",2,3,25.8154945054945
"no","82-ppb",2,4,25.7462637362637
"no","82-ppb",2,5,25.7232967032967
"no","82-ppb",2,6,25.5297802197802
"no","82-ppb",2,7,25.7274725274725
"no","82-ppb",2,8,25.6443956043956
"no","82-ppb",2,9,25.8407692307692
"no","82-ppb",2,10,25.6235164835165
"no2","0-ppb",1,1,0.0818205461638492
"no2","0-ppb",1,2,-0.0282314694408323
"no2","0-ppb",1,3,0.337808988764045
"no2","0-ppb",1,4,-0.0471001300390117
"no2","0-ppb",1,5,0.0396098829648895
"no2","0-ppb",1,6,-0.0141352405721716
"no2","0-ppb",1,7,-0.00534460338101431
"no2","0-ppb",1,8,-0.00697009102730819
"no2","0-ppb",1,9,0.244269662921348
"no2","0-ppb",1,10,-0.0428088426527958
"no2","0-ppb",2,1,-0.112535760728218
"no2","0-ppb",2,2,-0.0231079323797139
"no2","0-ppb",2,3,0.334325842696629
"no2","0-ppb",2,4,0.00416124837451235
"no2","0-ppb",2,5,0.051001300390117
"no2","0-ppb",2,6,-0.0616905071521456
"no2","0-ppb",2,7,-0.0546163849154746
"no2","0-ppb",2,8,0.182548764629389
"no2","0-ppb",2,9,-0.140208062418726
"no2","0-ppb",2,10,0.245393258426966
"no2","120-ppb",1,1,122.159493670886
"no2","120-ppb",1,2,123.035443037975
"no2","120-ppb",1,3,123.005063291139
"no2","120-ppb",1,4,122.236708860759
"no2","120-ppb",1,5,122.743037974684
"no2","120-ppb",1,6,122.858227848101
"no2","120-ppb",1,7,122.551898734177
"no2","120-ppb",1,8,123.401265822785
"no2","120-ppb",1,9,122.29746835443
"no2","120-ppb",1,10,122.550632911392
"no2","120-ppb",2,1,123.283544303797
"no2","120-ppb",2,2,122.718987341772
"no2","120-ppb",2,3,122.76835443038
"no2","120-ppb",2,4,122.66582278481
"no2","120-ppb",2,5,123.056962025316
"no2","120-ppb",2,6,122.743037974684
"no2","120-ppb",2,7,123.244303797468
"no2","120-ppb",2,8,122.822784810127
"no2","120-ppb",2,9,122.23417721519
"no2","120-ppb",2,10,123.598734177215
"no2","30-ppb",1,1,32.9369047619048
"no2","30-ppb",1,2,32.9471428571429
"no2","30-ppb",1,3,32.9777380952381
"no2","30-ppb",1,4,32.9207142857143
"no2","30-ppb",1,5,32.9203571428571
"no2","30-ppb",1,6,32.9422619047619
"no2","30-ppb",1,7,32.9633333333333
"no2","30-ppb",1,8,32.9688095238095
"no2","30-ppb",1,9,32.9604761904762
"no2","30-ppb",1,10,32.9478571428571
"no2","30-ppb",2,1,32.8936904761905
"no2","30-ppb",2,2,32.8617857142857
"no2","30-ppb",2,3,32.9328571428571
"no2","30-ppb",2,4,32.9075
"no2","30-ppb",2,5,32.9613095238095
"no2","30-ppb",2,6,33.0478571428571
"no2","30-ppb",2,7,32.9675
"no2","30-ppb",2,8,32.8909523809524
"no2","30-ppb",2,9,32.7759523809524
"no2","30-ppb",2,10,32.9177380952381
"no2","60-ppb",1,1,64.9268131868132
"no2","60-ppb",1,2,65.1541758241758
"no2","60-ppb",1,3,65.0148351648352
"no2","60-ppb",1,4,64.7575824175824
"no2","60-ppb",1,5,64.6541758241758
"no2","60-ppb",1,6,65.0227472527473
"no2","60-ppb",1,7,64.9163736263736
"no2","60-ppb",1,8,65.0769230769231
"no2","60-ppb",1,9,64.9732967032967
"no2","60-ppb",1,10,64.0769230769231
"no2","60-ppb",2,1,64.852967032967
"no2","60-ppb",2,2,65.1568131868132
"no2","60-ppb",2,3,64.6830769230769
"no2","60-ppb",2,4,64.873956043956
"no2","60-ppb",2,5,64.9325274725275
"no2","60-ppb",2,6,65.0105494505494
"no2","60-ppb",2,7,65.3279120879121
"no2","60-ppb",2,8,64.9416483516484
"no2","60-ppb",2,9,64.8679120879121
"no2","60-ppb",2,10,65.2374725274725
"no2","90-ppb",1,1,96.8218604651163
"no2","90-ppb",1,2,96.7582558139535
"no2","90-ppb",1,3,96.861511627907
"no2","90-ppb",1,4,96.7922093023256
"no2","90-ppb",1,5,96.7966279069767
"no2","90-ppb",1,6,96.7783720930233
"no2","90-ppb",1,7,96.7517441860465
"no2","90-ppb",1,8,96.8479069767442
"no2","90-ppb",1,9,96.8601162790698
"no2","90-ppb",1,10,96.8677906976744
"no2","90-ppb",2,1,96.8812790697674
"no2","90-ppb",2,2,96.7377906976744
"no2","90-ppb",2,3,96.8351162790698
"no2","90-ppb",2,4,96.8709302325581
"no2","90-ppb",2,5,96.8694186046512
"no2","90-ppb",2,6,96.8627906976744
"no2","90-ppb",2,7,96.9073255813954
"no2","90-ppb",2,8,96.8216279069767
"no2","90-ppb",2,9,96.8566279069767
"no2","90-ppb",2,10,96.8152325581395
"o3","0-ppb",1,1,6.45161290322581e-05
"o3","0-ppb",1,2,3.2258064516129e-05
"o3","0-ppb",1,3,3.2258064516129e-05
"o3","0-ppb",1,4,3.2258064516129e-05
"o3","0-ppb",1,5,0
"o3","0-ppb",1,6,3.2258064516129e-05
"o3","0-ppb",1,7,0
"o3","0-ppb",1,8,3.2258064516129e-05
"o3","0-ppb",1,9,6.45161290322581e-05
"o3","0-ppb",1,10,6.45161290322581e-05
"o3","0-ppb",2,1,6.45161290322581e-05
"o3","0-ppb",2,2,6.45161290322581e-05
"o3","0-ppb",2,3,6.45161290322581e-05
"o3","0-ppb",2,4,3.2258064516129e-05
"o3","0-ppb",2,5,9.67741935483871e-05
"o3","0-ppb",2,6,0
"o3","0-ppb",2,7,6.45161290322581e-05
"o3","0-ppb",2,8,0
"o3","0-ppb",2,9,3.2258064516129e-05
"o3","0-ppb",2,10,3.2258064516129e-05
"o3","120-ppb",1,1,120.715233333333
"o3","120-ppb",1,2,119.055420560748
"o3","120-ppb",1,3,119.011065420561
"o3","120-ppb",1,4,119.179158878505
"o3","120-ppb",1,5,120.616344444444
"o3","120-ppb",1,6,119.038757009346
"o3","120-ppb",1,7,119.067037383178
"o3","120-ppb",1,8,120.738422222222
"o3","120-ppb",1,9,120.739322222222
"o3","120-ppb",1,10,120.645088888889
"o3","120-ppb",2,1,118.990831775701
"o3","120-ppb",2,2,119.075700934579
"o3","120-ppb",2,3,119.06946728972
"o3","120-ppb",2,4,119.176859813084
"o3","120-ppb",2,5,120.682411111111
"o3","120-ppb",2,6,119.056943925234
"o3","120-ppb",2,7,120.702311111111
"o3","120-ppb",2,8,119.122037383178
"o3","120-ppb",2,9,120.818166666667
"o3","120-ppb",2,10,120.736555555556
"o3","180-ppb",1,1,180.414268817204
"o3","180-ppb",1,2,176.452356060606
"o3","180-ppb",1,3,176.559681818182
"o3","180-ppb",1,4,176.372143939394
"o3","180-ppb",1,5,180.374072916667
"o3","180-ppb",1,6,176.362371212121
"o3","180-ppb",1,7,176.421863636364
"o3","180-ppb",1,8,176.516424242424
"o3","180-ppb",1,9,180.529436170213
"o3","180-ppb",1,10,180.455655913978
"o3","180-ppb",2,1,180.460095744681
"o3","180-ppb",2,2,176.395590909091
"o3","180-ppb",2,3,176.376590909091
"o3","180-ppb",2,4,180.242032608696
"o3","180-ppb",2,5,180.339947368421
"o3","180-ppb",2,6,180.429457446808
"o3","180-ppb",2,7,176.448060606061
"o3","180-ppb",2,8,176.591734848485
"o3","180-ppb",2,9,180.353273684211
"o3","180-ppb",2,10,176.545007575758
"o3","40-ppb",1,1,40.8980697674419
"o3","40-ppb",1,2,40.8487674418605
"o3","40-ppb",1,3,40.8489418604651
"o3","40-ppb",1,4,40.8861860465116
"o3","40-ppb",1,5,40.2483838383838
"o3","40-ppb",1,6,40.832523255814
"o3","40-ppb",1,7,40.8640348837209
"o3","40-ppb",1,8,40.1867575757576
"o3","40-ppb",1,9,40.1845151515151
"o3","40-ppb",1,10,40.2169191919192
"o3","40-ppb",2,1,40.8687790697674
"o3","40-ppb",2,2,40.1996767676768
"o3","40-ppb",2,3,40.1810505050505
"o3","40-ppb",2,4,40.7474534883721
"o3","40-ppb",2,5,40.8484418604651
"o3","40-ppb",2,6,40.9263488372093
"o3","40-ppb",2,7,40.8254651162791
"o3","40-ppb",2,8,40.1105757575758
"o3","40-ppb",2,9,40.1198787878788
"o3","40-ppb",2,10,40.157797979798
"o3","80-ppb",1,1,79.4768172043011
"o3","80-ppb",1,2,80.6827228915663
"o3","80-ppb",1,3,80.7173734939759
"o3","80-ppb",1,4,80.655421686747
"o3","80-ppb",1,5,79.5428817204301
"o3","80-ppb",1,6,79.5271827956989
"o3","80-ppb",1,7,79.4981505376344
"o3","80-ppb",1,8,79.513064516129
"o3","80-ppb",1,9,79.5236344086021
"o3","80-ppb",1,10,79.5793548387097
"o3","80-ppb",2,1,79.5957634408602
"o3","80-ppb",2,2,79.6276344086021
"o3","80-ppb",2,3,80.6643614457831
"o3","80-ppb",2,4,79.5497096774194
"o3","80-ppb",2,5,79.5368924731183
"o3","80-ppb",2,6,80.6509397590361
"o3","80-ppb",2,7,80.6074096385542
"o3","80-ppb",2,8,79.4793870967742
"o3","80-ppb",2,9,79.5805483870968
"o3","80-ppb",2,10,79.5330107526882
"so2","0-ppb",1,1,0.0509433962264151
"so2","0-ppb",1,2,0.0377358490566038
"so2","0-ppb",1,3,0.0377358490566038
"so2","0-ppb",1,4,0.00566037735849057
"so2","0-ppb",1,5,0.0471698113207547
"so2","0-ppb",1,6,0.0716981132075472
"so2","0-ppb",1,7,0.0113207547169811
"so2","0-ppb",1,8,0.0679245283018868
"so2","0-ppb",1,9,-0.0245283018867924
"so2","0-ppb",1,10,0.0716981132075472
"so2","0-ppb",2,1,0.0188679245283019
"so2","0-ppb",2,2,0.0509433962264151
"so2","0-ppb",2,3,0.0528301886792453
"so2","0-ppb",2,4,0.0433962264150943
"so2","0-ppb",2,5,0.0150943396226415
"so2","0-ppb",2,6,0.0132075471698113
"so2","0-ppb",2,7,0.0377358490566038
"so2","0-ppb",2,8,0.0169811320754717
"so2","0-ppb",2,9,0.0886792452830189
"so2","0-ppb",2,10,0.0188679245283019
"so2","100-ppb",1,1,99.9690476190476
"so2","100-ppb",1,2,98.9662921348315
"so2","100-ppb",1,3,100.060714285714
"so2","100-ppb",1,4,100.013095238095
"so2","100-ppb",1,5,99.0831460674157
"so2","100-ppb",1,6,100.075
"so2","100-ppb",1,7,99.014606741573
"so2","100-ppb",1,8,98.876404494382
"so2","100-ppb",1,9,98.9910112359551
"so2","100-ppb",1,10,99.977380952381
"so2","100-ppb",2,1,99.0089887640449
"so2","100-ppb",2,2,100.109523809524
"so2","100-ppb",2,3,100.111904761905
"so2","100-ppb",2,4,98.9337078651685
"so2","100-ppb",2,5,99.0910112359551
"so2","100-ppb",2,6,99.0224719101124
"so2","100-ppb",2,7,99.9940476190476
"so2","100-ppb",2,8,99.0314606741573
"so2","100-ppb",2,9,99.0022471910112
"so2","100-ppb",2,10,100.063095238095
"so2","140-ppb",1,1,138.752873563218
"so2","140-ppb",1,2,138.644827586207
"so2","140-ppb",1,3,138.727586206897
"so2","140-ppb",1,4,138.804597701149
"so2","140-ppb",1,5,138.579310344828
"so2","140-ppb",1,6,139.534831460674
"so2","140-ppb",1,7,138.616091954023
"so2","140-ppb",1,8,138.618390804598
"so2","140-ppb",1,9,139.578651685393
"so2","140-ppb",1,10,138.574712643678
"so2","140-ppb",2,1,138.480459770115
"so2","140-ppb",2,2,139.552808988764
"so2","140-ppb",2,3,139.54606741573
"so2","140-ppb",2,4,139.512359550562
"so2","140-ppb",2,5,139.569662921348
"so2","140-ppb",2,6,139.573033707865
"so2","140-ppb",2,7,138.626436781609
"so2","140-ppb",2,8,139.598876404494
"so2","140-ppb",2,9,139.569662921348
"so2","140-ppb",2,10,139.584269662921
"so2","180-ppb",1,1,181.010309278351
"so2","180-ppb",1,2,180.849484536082
"so2","180-ppb",1,3,180.822680412371
"so2","180-ppb",1,4,180.922680412371
"so2","180-ppb",1,5,180.18829787234
"so2","180-ppb",1,6,180.235106382979
"so2","180-ppb",1,7,180.759793814433
"so2","180-ppb",1,8,180.90412371134
"so2","180-ppb",1,9,180.139361702128
"so2","180-ppb",1,10,180.846391752577
"so2","180-ppb",2,1,180.852577319588
"so2","180-ppb",2,2,181.058762886598
"so2","180-ppb",2,3,180.857731958763
"so2","180-ppb",2,4,180.343617021277
"so2","180-ppb",2,5,180.170212765957
"so2","180-ppb",2,6,180.203191489362
"so2","180-ppb",2,7,181.016494845361
"so2","180-ppb",2,8,180.153191489362
"so2","180-ppb",2,9,180.056382978723
"so2","180-ppb",2,10,180.28085106383
"so2","20-ppb",1,1,19.7023529411765
"so2","20-ppb",1,2,19.7247058823529
"so2","20-ppb",1,3,19.7070588235294
"so2","20-ppb",1,4,19.7588235294118
"so2","20-ppb",1,5,19.7576470588235
"so2","20-ppb",1,6,19.7317647058824
"so2","20-ppb",1,7,19.7176470588235
"so2","20-ppb",1,8,19.6894117647059
"so2","20-ppb",1,9,19.6611764705882
"so2","20-ppb",1,10,19.7223529411765
"so2","20-ppb",2,1,19.6788235294118
"so2","20-ppb",2,2,19.6776470588235
"so2","20-ppb",2,3,19.7035294117647
"so2","20-ppb",2,4,19.7247058823529
"so2","20-ppb",2,5,19.7482352941176
"so2","20-ppb",2,6,19.7105882352941
"so2","20-ppb",2,7,19.6988235294118
"so2","20-ppb",2,8,19.7929411764706
"so2","20-ppb",2,9,19.64
"so2","20-ppb",2,10,19.7588235294118
"so2","60-ppb",1,1,59.8978494623656
"so2","60-ppb",1,2,59.8150537634409
"so2","60-ppb",1,3,59.9032258064516
"so2","60-ppb",1,4,59.8731182795699
"so2","60-ppb",1,5,59.9279569892473
"so2","60-ppb",1,6,59.9139784946237
"so2","60-ppb",1,7,59.9182795698925
"so2","60-ppb",1,8,59.9301075268817
"so2","60-ppb",1,9,59.8935483870968
"so2","60-ppb",1,10,59.8784946236559
"so2","60-ppb",2,1,59.8387096774194
"so2","60-ppb",2,2,59.9365591397849
"so2","60-ppb",2,3,59.9462365591398
"so2","60-ppb",2,4,59.9021505376344
"so2","60-ppb",2,5,59.9118279569892
"so2","60-ppb",2,6,59.9634408602151
"so2","60-ppb",2,7,59.8333333333333
"so2","60-ppb",2,8,59.9322580645161
"so2","60-ppb",2,9,59.9075268817204
"so2","60-ppb",2,10,59.8720430107527
"so2","61-ppb",1,1,59.0135802469136
"so2","61-ppb",1,2,59.0518518518519
"so2","61-ppb",1,3,59.0098765432099
"so2","61-ppb",1,4,59.0740740740741
"so2","61-ppb",1,5,59.0802469135802
"so2","61-ppb",1,6,59.041975308642
"so2","61-ppb",1,7,59.0567901234568
"so2","61-ppb",1,8,59.0172839506173
"so2","61-ppb",1,9,59.0543209876543
"so2","61-ppb",1,10,59.0802469135802
"so2","61-ppb",2,1,58.9913580246914
"so2","61-ppb",2,2,59.0765432098765
"so2","61-ppb",2,3,59.0382716049383
"so2","61-ppb",2,4,59.1074074074074
"so2","61-ppb",2,5,59
"so2","61-ppb",2,6,59.0320987654321
"so2","61-ppb",2,7,59.0271604938272
"so2","61-ppb",2,8,59.0777777777778
"so2","61-ppb",2,9,59.0222222222222
"so2","61-ppb",2,10,59.0481481481482
