"pollutant","level","participant_id","replicate","sample_group","mean_value","sd_value"
"o3","80-ppb","part_3",4,"11-20",79.7584849591916,0.48312003489602
"o3","80-ppb","part_3",4,"21-30",80.3046142505506,0.55362316385906
"o3","80-ppb","part_4",5,"1-10",79.9794598911776,0.57912181901743
"o3","80-ppb","part_4",5,"11-20",79.9784113874854,0.579661681309561
"o3","80-ppb","part_4",5,"21-30",80.0923789480503,0.59402677734301
"o3","80-ppb","part_5",6,"1-10",80.2117840782485,0.563830735436335
"o3","80-ppb","part_5",6,"11-20",79.8612171006607,0.530777198536079
"o3","80-ppb","part_5",6,"21-30",80.4408046897266,0.487978654351219
"o3","80-ppb","part_6",7,"1-10",80.091854657339,0.574635251320137
"o3","80-ppb","part_6",7,"11-20",80.0865115947662,0.598649738357833
"o3","80-ppb","part_6",7,"21-30",80.2006899339293,0.562366663773701
"o3","80-ppb","part_7",8,"1-10",80.0858456924472,0.58474978178301
"o3","80-ppb","part_7",8,"11-20",79.9683066200285,0.585667578729015
"o3","80-ppb","part_7",8,"21-30",80.1896295115947,0.577021851178644
"o3","80-ppb","part_8",9,"1-10",80.1021184479855,0.604083726777732
"o3","80-ppb","part_8",9,"11-20",80.0976700997539,0.619710794706203
"o3","80-ppb","part_8",9,"21-30",80.0010322710196,0.578828250597831
"o3","80-ppb","part_9",10,"1-10",79.9796768234227,0.599552176380465
"o3","80-ppb","part_9",10,"11-20",80.1998217515222,0.605933309302153
"o3","80-ppb","part_9",10,"21-30",79.7806820572613,0.464344399756987
"o3","80-ppb","ref",1,"1-10",79.9647003238761,0.592779247027531
"o3","80-ppb","ref",1,"11-20",80.0928002591009,0.558286382081375
"o3","80-ppb","ref",1,"21-30",79.8784449540096,0.540646597551722
