"pollutant","run","level","participant_id","replicate","mean_value","sd_value","x_pt","sigma_pt","u_xpt","u_x","U_x","U_xpt","z_score","z_prime_score","zeta_score","En_score","z_score_eval","z_prime_score_eval","zeta_score_eval","En_score_eval","n_lab"
"co","corrida_4","6-μmol/mol","part_3",4,6.076683498,0.0117179534,6.071321853,0.00549562280100088,0.00228984283375037,0.0117179534,0.0234359068,0.00457968566750073,0.975620997682777,0.900573228630255,0.449064410825994,0.224532205412997,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_5","8-μmol/mol","part_1",2,8.02975665,0.06014882025,8.03984376233333,0.0192312740939999,0.00801303087249994,0.06014882025,0.1202976405,0.0160260617449999,-0.524516071271706,-0.484168681173882,-0.166233941453305,-0.0831169707266526,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_5","8-μmol/mol","part_1",2,8.026982502,0.06016191357,8.03984376233333,0.0192312740939999,0.00801303087249994,0.06016191357,0.12032382714,0.0160260617449999,-0.668767980242513,-0.617324289454627,-0.211906117404971,-0.105953058702486,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_5","8-μmol/mol","part_1",2,8.015419373,0.05647631169,8.03984376233333,0.0192312740939999,0.00801303087249994,0.05647631169,0.11295262338,0.0160260617449999,-1.27003490324927,-1.17233991069164,-0.428183037059464,-0.214091518529732,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_5","8-μmol/mol","part_2",3,8.046159612,0.06389160476,8.03984376233333,0.0192312740939999,0.00801303087249994,0.06389160476,0.12778320952,0.0160260617449999,0.328415560809733,0.30315282536283,0.0980841930678039,0.0490420965339019,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_5","8-μmol/mol","part_2",3,8.050316368,0.05921496855,8.03984376233333,0.0192312740939999,0.00801303087249994,0.05921496855,0.1184299371,0.0160260617449999,0.544561198362542,0.502671875411577,0.175260022689632,0.0876300113448158,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_5","8-μmol/mol","part_2",3,8.016310358,0.05483553534,8.03984376233333,0.0192312740939999,0.00801303087249994,0.05483553534,0.10967107068,0.0160260617449999,-1.22370489954568,-1.12957375342678,-0.424653418076066,-0.212326709038033,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_5","8-μmol/mol","part_3",4,8.029278176,0.05644517207,8.03984376233333,0.0192312740939999,0.00801303087249994,0.05644517207,0.11289034414,0.0160260617449999,-0.54939606609996,-0.507134830246117,-0.185325057286436,-0.092662528643218,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_5","8-μmol/mol","part_3",4,8.016623764,0.05871094942,8.03984376233333,0.0192312740939999,0.00801303087249994,0.05871094942,0.11742189884,0.0160260617449999,-1.2074082153807,-1.11453066035141,-0.39186400663424,-0.19593200331712,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_5","8-μmol/mol","part_3",4,8.071861999,0.05430140442,8.03984376233333,0.0192312740939999,0.00801303087249994,0.05430140442,0.10860280884,0.0160260617449999,1.66490459811268,1.53683501364248,0.583322287113344,0.291661143556672,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_1","0-nmol/mol","part_1",2,0.5634295455,0.1483137378,0.553708922566667,0.0309699834321999,0.0129041597634166,0.1483137378,0.2966274756,0.0258083195268332,0.313872396948933,0.289728366414399,0.0652942743600091,0.0326471371800046,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_1","0-nmol/mol","part_1",2,0.5766277778,0.1306911011,0.553708922566667,0.0309699834321999,0.0129041597634166,0.1306911011,0.2613822022,0.0258083195268332,0.740034468649545,0.683108740291888,0.174517970157724,0.087258985078862,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_1","0-nmol/mol","part_1",2,0.5536068182,0.1709505653,0.553708922566667,0.0309699834321999,0.0129041597634166,0.1709505653,0.3419011306,0.0258083195268332,-0.00329688153983736,-0.00304327526754218,-0.000595579845638888,-0.000297789922819444,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_1","0-nmol/mol","part_2",3,0.5148156566,0.1082035046,0.553708922566667,0.0309699834321999,0.0129041597634166,0.1082035046,0.2164070092,0.0258083195268332,-1.25583748056607,-1.1592345974456,-0.356916363631885,-0.178458181815942,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_1","0-nmol/mol","part_2",3,0.594305303,0.1439760568,0.553708922566667,0.0309699834321999,0.0129041597634166,0.1439760568,0.2879521136,0.0258083195268332,1.31082990477562,1.2099968351775,0.280840449325683,0.140420224662842,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_1","0-nmol/mol","part_2",3,0.5162161616,0.1109201168,0.553708922566667,0.0309699834321999,0.0129041597634166,0.1109201168,0.2218402336,0.0258083195268332,-1.21061611313893,-1.11749179674362,-0.335751420897922,-0.167875710448961,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_1","0-nmol/mol","part_3",4,0.5289242424,0.1080949952,0.553708922566667,0.0309699834321999,0.0129041597634166,0.1080949952,0.2161899904,0.0258083195268332,-0.800280704732239,-0.738720650522066,-0.227669571078743,-0.113834785539372,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_1","0-nmol/mol","part_3",4,0.5386888889,0.1103844635,0.553708922566667,0.0309699834321999,0.0129041597634166,0.1103844635,0.220768927,0.0258083195268332,-0.484986816332946,-0.447680138153489,-0.135149829011821,-0.0675749145059104,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_1","0-nmol/mol","part_3",4,0.5498075758,0.1255436827,0.553708922566667,0.0309699834321999,0.0129041597634166,0.1255436827,0.2510873654,0.0258083195268332,-0.125971871286521,-0.116281727341404,-0.0309127443369522,-0.0154563721684761,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_2","121-nmol/mol","part_1",2,120.4113439,0.08287482898,120.356389966667,0.0261429171999888,0.010892882166662,0.08287482898,0.16574965796,0.021785764333324,2.10205819468994,1.94036141048302,0.657440966638687,0.328720483319344,"Cuestionable","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_2","121-nmol/mol","part_1",2,120.3347036,0.05026546445,120.356389966667,0.0261429171999888,0.010892882166662,0.05026546445,0.1005309289,0.021785764333324,-0.829531245529111,-0.765721149719179,-0.421649554196721,-0.210824777098361,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"no","corrida_2","121-nmol/mol","part_1",2,120.3452569,0.04932474469,120.356389966667,0.0261429171999888,0.010892882166662,0.04932474469,0.09864948938,0.021785764333324,-0.425854030807163,-0.393096028437381,-0.22039907233022,-0.11019953616511,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
