level,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20
120-ppb,120.337061111111,120.317138888889,120.389272222222,120.328727777778,120.353466666667,120.351583333333,120.319922222222,120.400605555556,120.417383333333,120.460383333333,120.383444444444,120.385472222222,120.273533333333,120.3328,120.379094444444,120.347944444444,120.320344444444,120.382955555556,120.401816666667,120.377105555556
120-ppb,120.338355555556,120.301644444444,120.374988888889,120.34825,120.36295,120.317416666667,120.420466666667,120.351344444444,120.349816666667,120.365888888889,120.482861111111,120.352927777778,120.345422222222,120.423277777778,120.296744444444,120.302727777778,120.371372222222,120.324122222222,120.381322222222,120.313027777778
120-ppb,120.338994444444,120.267022222222,120.409338888889,120.384622222222,120.374155555556,120.386127777778,120.364583333333,120.370322222222,120.317172222222,120.375416666667,120.324305555556,120.363905555556,120.396077777778,120.366511111111,120.304511111111,120.329033333333,120.434788888889,120.424883333333,120.365288888889,120.45765
140-ppb,139.6,139.510112359551,139.549438202247,139.656179775281,139.504494382022,139.575280898876,139.610112359551,139.641573033708,139.616853932584,139.468539325843,139.470786516854,139.589887640449,139.513483146067,139.611235955056,139.538202247191,139.551685393258,139.615730337079,139.562921348315,139.687640449438,139.588764044944
140-ppb,139.58202247191,139.705617977528,139.641573033708,139.589887640449,139.629213483146,139.647191011236,139.615730337079,139.659550561798,139.513483146067,139.496629213483,139.506741573034,139.575280898876,139.461797752809,139.58202247191,139.53595505618,139.578651685393,139.557303370787,139.66404494382,139.541573033708,139.620224719101
140-ppb,139.620224719101,139.687640449438,139.696629213483,139.625842696629,139.55393258427,139.648314606742,139.568539325843,139.540449438202,139.579775280899,139.630337078652,139.465168539326,139.585393258427,139.533707865169,139.650561797753,139.574157303371,139.538202247191,139.643820224719,139.540449438202,139.556179775281,139.579775280899
140-ppb,139.586516853933,139.622471910112,139.522471910112,139.542696629213,139.576404494382,139.552808988764,139.648314606742,139.48202247191,139.585393258427,139.570786516854,139.560674157303,139.51797752809,139.647191011236,139.579775280899,139.508988764045,139.573033707865,139.597752808989,139.543820224719,139.631460674157,139.587640449438
140-ppb,139.523595505618,139.558426966292,139.63595505618,139.474157303371,139.484269662921,139.597752808989,139.626966292135,139.583146067416,139.639325842697,139.606741573034,139.587640449438,139.605617977528,139.576404494382,139.6,139.506741573034,139.585393258427,139.511235955056,139.589887640449,139.589887640449,139.586516853933
180-ppb,181.071478723404,181.198659574468,181.102329787234,181.036975177305,181.174560283688,181.041925531915,181.153992907801,181.196705673759,181.129663120567,181.148212765957,181.163673758865,181.012046099291,181.085,181.041918439716,181.085095744681,181.240308510638,181.025914893617,181.114620567376,181.160620567376,181.11995035461
180-ppb,181.111882978723,181.149333333333,181.13604964539,181.214819148936,181.143390070922,181.151744680851,181.061074468085,181.041017730496,181.173031914894,181.087407801418,181.05870212766,181.141003546099,181.171691489362,181.082269503546,181.163613475177,181.142510638298,181.21704964539,181.16530141844,181.245358156028,181.072968085106
180-ppb,181.177372340426,181.116588652482,181.135404255319,181.104918439716,181.143191489362,181.079390070922,181.092865248227,181.120503546099,181.170638297872,181.211992907801,181.214822695035,181.07464893617,181.096078014184,181.040120567376,181.020092198582,181.013372340426,181.084939716312,181.113921985816,181.17669858156,181.086673758865
180-ppb,181.174329787234,181.134269503546,181.158134751773,181.117918439716,181.094868794326,181.148943262411,181.216567375887,181.164234042553,181.080840425532,181.101773049645,181.208106382979,181.154031914894,181.089553191489,181.03330141844,181.146390070922,181.115446808511,181.08474822695,181.131088652482,181.044535460993,181.100882978723
180-ppb,181.185404255319,181.140563829787,181.115890070922,181.103638297872,181.127705673759,181.211170212766,181.14435106383,181.138294326241,181.186634751773,181.192982269504,181.122322695035,181.111375886525,181.116145390071,181.12719858156,181.025003546099,181.137882978723,181.18190070922,181.114634751773,181.166925531915,181.159127659574
180-ppb,180.780505952381,180.797851190476,180.764178571429,180.787363095238,180.712607142857,180.762107142857,180.724005952381,180.78406547619,180.640922619048,180.82718452381,180.687577380952,180.77056547619,180.692297619048,180.649767857143,180.78332142857101,180.793244047619,180.700767857143,180.778738095238,180.636327380952,180.806172619048
180-ppb,180.798279761905,180.726279761905,180.735839285714,180.697851190476,180.751601190476,180.687880952381,180.787523809524,180.744755952381,180.786428571429,180.626464285714,180.656244047619,180.683369047619,180.868744047619,180.653422619048,180.770273809524,180.687857142857,180.759857142857,180.73975,180.741452380952,180.739863095238
180-ppb,180.803482142857,180.657321428571,180.691755952381,180.728541666667,180.671541666667,180.666571428571,180.693428571429,180.700035714286,180.784142857143,180.699892857143,180.76168452381,180.75406547619,180.76481547619,180.761142857143,180.860619047619,180.750202380952,180.816452380952,180.74818452381,180.688916666667,180.768886904762
180-ppb,180.834845238095,180.63544047619,180.889327380952,180.76105952381,180.744470238095,180.634535714286,180.75931547619,180.72105952381,180.715982142857,180.630208333333,180.714023809524,180.701511904762,180.733535714286,180.841708333333,180.770958333333,180.605988095238,180.753351190476,180.809892857143,180.706732142857,180.767113095238
180-ppb,180.758976190476,180.687726190476,180.688761904762,180.761148809524,180.690726190476,180.74493452381,180.587023809524,180.761619047619,180.647785714286,180.725595238095,180.682916666667,180.684619047619,180.77481547619,180.67155952381,180.680714285714,180.739410714286,180.73281547619,180.719595238095,180.710380952381,180.783839285714
