"Pollutant","Level","Combination","Combination_Label","x_pt","u_xpt","expanded_uncertainty","sigma_pt"
"o3","45-ppb","Consenso nIQR (2b)","2b",44.8156302259887,0.00186993257713374,0.00373986515426749,0.00366430453390817
"o3","45-ppb","Algoritmo A (3)","3",44.8160033893958,0.00164870713396722,0.00329741426793444,0.00323079297080492
"o3","90-ppb","Referencia (1)","1",90.4332435028248,0.014075597120513,0.028151194241026,0.0356087570621829
"o3","90-ppb","Consenso MADe (2a)","2a",90.4486828625235,0.000763275006130179,0.00152655001226036,0.00149570743875091
"o3","90-ppb","Consenso nIQR (2b)","2b",90.4486828625235,0.000722123004245435,0.00144424600849087,0.00141506631354157
"o3","90-ppb","Algoritmo A (3)","3",90.448710796488,0.000894120440096221,0.00178824088019244,0.00175211107746278
"so2","0-ppb","Referencia (1)","1",-0.0350717948717949,0.00841801768422727,0.0168360353684545,0.0212960874125874
"so2","0-ppb","Consenso MADe (2a)","2a",-0.0361993006993007,0.000383334557887215,0.000766669115774429,0.000751179254079245
"so2","0-ppb","Consenso nIQR (2b)","2b",-0.0361993006993007,0.000294698239423987,0.000589396478847973,0.000577488251748253
"so2","0-ppb","Algoritmo A (3)","3",-0.0363028661357992,0.000349222030006788,0.000698444060013576,0.000684332624364437
"so2","100-ppb","Referencia (1)","1",100.054285714286,0.023029569406419,0.0460591388128379,0.0582607142857727
"so2","100-ppb","Consenso MADe (2a)","2a",100.055853174603,0.00247758718826346,0.00495517437652692,0.00485505952360189
"so2","100-ppb","Consenso nIQR (2b)","2b",100.055853174603,0.00288973874566935,0.0057794774913387,0.00566270833347215
"so2","100-ppb","Algoritmo A (3)","3",100.05460978836,0.00228178846562652,0.00456357693125303,0.00447137395340249
"so2","120-ppb","Referencia (1)","1",120.747585293383,0.222322235590541,0.444644471181082,0.562435711173327
"so2","120-ppb","Consenso MADe (2a)","2a",120.682571374324,0.0444203480705537,0.0888406961411075,0.0870457495757439
"so2","120-ppb","Consenso nIQR (2b)","2b",120.682571374324,0.0478889384186011,0.0957778768372022,0.093842770759311
"so2","120-ppb","Algoritmo A (3)","3",120.695486746081,0.0339144118688064,0.0678288237376127,0.0664584032041322
"so2","140-ppb","Referencia (1)","1",139.582958801498,0.0148198454811907,0.0296396909623813,0.0374915730338533
"so2","140-ppb","Consenso MADe (2a)","2a",139.570299625468,0.00578221778125347,0.0115644355625069,0.0113307865165751
"so2","140-ppb","Consenso nIQR (2b)","2b",139.570299625468,0.00732145861533495,0.0146429172306699,0.0143470702243796
"so2","140-ppb","Algoritmo A (3)","3",139.573423671328,0.00566305494350064,0.0113261098870013,0.0110972759975379
"so2","180-ppb","Referencia (1)","1",180.870891932624,0.126233815510335,0.252467631020669,0.319349099796919
"so2","180-ppb","Consenso MADe (2a)","2a",180.944106617274,0.0198730798660828,0.0397461597321656,0.0389431242315845
"so2","180-ppb","Consenso nIQR (2b)","2b",180.944106617274,0.0167983455720327,0.0335966911440654,0.0329179001395371
"so2","180-ppb","Algoritmo A (3)","3",180.944239700243,0.0153054870775203,0.0306109741550407,0.0299925068837492
"so2","20-ppb","Referencia (1)","1",19.7274509803921,0.00793103887578144,0.0158620777515629,0.0200641176470485
"so2","20-ppb","Consenso MADe (2a)","2a",19.7234509803922,0.00342781474534052,0.00685562949068104,0.00671711764709803
"so2","20-ppb","Consenso nIQR (2b)","2b",19.7234509803922,0.00327483120304837,0.00654966240609675,0.00641733235297063
"so2","20-ppb","Algoritmo A (3)","3",19.7234209808393,0.00308870478876741,0.00617740957753481,0.00605260055885683
"so2","40-ppb","Referencia (1)","1",40.2484623791974,0.055719077397755,0.11143815479551,0.140959354960091
"so2","40-ppb","Consenso MADe (2a)","2a",40.2498550537469,0.00868115643221935,0.0173623128644387,0.017011522908974
"so2","40-ppb","Consenso nIQR (2b)","2b",40.2498550537469,0.00710613408717873,0.0142122681743575,0.013925122045909
"so2","40-ppb","Algoritmo A (3)","3",40.2500044387546,0.00754994448355818,0.0150998889671164,0.0147948092568466
"so2","60-ppb","Referencia (1)","1",59.8893906810036,0.00882462483607146,0.0176492496721429,0.0223247311827807
"so2","60-ppb","Consenso MADe (2a)","2a",59.8836200716846,0.00231919598394956,0.00463839196789912,0.00454467741935071
"so2","60-ppb","Consenso nIQR (2b)","2b",59.8836200716846,0.0019151934208366,0.00383038684167319,0.00375299731182805
"so2","60-ppb","Algoritmo A (3)","3",59.8830697059502,0.00255529162400574,0.00511058324801148,0.00500732849825747
"so2","81-ppb","Referencia (1)","1",80.4473820075758,0.0382650094396457,0.0765300188792914,0.096803667613699
"so2","81-ppb","Consenso MADe (2a)","2a",80.4301752840909,0.00852972864970144,0.0170594572994029,0.016714786268934
"so2","81-ppb","Consenso nIQR (2b)","2b",80.4301752840909,0.00729933677855773,0.0145986735571155,0.0143037204545577
"so2","81-ppb","Algoritmo A (3)","3",80.4322783459596,0.00613275229123053,0.0122655045824611,0.0120176910659194
