pollutant,run,level,participant_id,replicate,sample_group,mean_value,sd_value
no,,42-nmol/mol,part_3,4,21-30,24.84410588,1.284426861
no,,42-nmol/mol,ref,1,1-10,24.79114118,0.9150702736
no,,42-nmol/mol,ref,1,11-20,24.80806471,1.394111774
no,,42-nmol/mol,ref,1,21-30,25.38992353,1.159719485
no,,81-nmol/mol,part_1,2,1-10,80.67623077,0.04644222585
no,,81-nmol/mol,part_1,2,11-20,80.66617308,0.03087461254
no,,81-nmol/mol,part_1,2,21-30,80.689,0.03541488857
no,,81-nmol/mol,part_2,3,1-10,80.67834615,0.05115811948
no,,81-nmol/mol,part_2,3,11-20,80.66451923,0.04743167427
no,,81-nmol/mol,part_2,3,21-30,80.69786538,0.02458138176
no,,81-nmol/mol,part_3,4,1-10,80.68465385,0.0519709972
no,,81-nmol/mol,part_3,4,11-20,80.67305769,0.0245402248
no,,81-nmol/mol,part_3,4,21-30,80.69434615,0.02986769533
no,,81-nmol/mol,ref,1,1-10,80.67528846,0.04750456309
no,,81-nmol/mol,ref,1,11-20,80.69709615,0.0323071136
no,,81-nmol/mol,ref,1,21-30,80.70007692,0.03652104848
no,,82-nmol/mol,part_1,2,1-10,25.7321978,0.08315717
no,,82-nmol/mol,part_1,2,11-20,25.68278022,0.08886110249
no,,82-nmol/mol,part_1,2,21-30,25.61473626,0.07848931303
no,,82-nmol/mol,part_2,3,1-10,25.71343956,0.07189583336
no,,82-nmol/mol,part_2,3,11-20,25.74825275,0.09309540132
no,,82-nmol/mol,part_2,3,21-30,25.6879011,0.0306646334
no,,82-nmol/mol,part_3,4,1-10,25.69504396,0.0701765819
no,,82-nmol/mol,part_3,4,11-20,25.64441758,0.03851734308
no,,82-nmol/mol,part_3,4,21-30,25.70330769,0.06163803322
no,,82-nmol/mol,ref,1,1-10,25.7530989,0.08436818783
no,,82-nmol/mol,ref,1,11-20,25.66447253,0.08661698746
no,,82-nmol/mol,ref,1,21-30,25.73048352,0.10130046
no2,corrida_1,0-nmol/mol,part_1,2,1-10,0.09647186628,0.1830011276
no2,corrida_1,0-nmol/mol,part_1,2,11-20,0.1759955144,0.1656658549
no2,corrida_1,0-nmol/mol,part_1,2,21-30,0.07426613433,0.1815058659
no2,corrida_1,0-nmol/mol,part_2,3,1-10,0.1698580602,0.1868786567
no2,corrida_1,0-nmol/mol,part_2,3,11-20,0.1478375024,0.1765082199
no2,corrida_1,0-nmol/mol,part_2,3,21-30,0.06842176473,0.1798801323
no2,corrida_1,0-nmol/mol,part_3,4,1-10,0.1627337415,0.2233621417
no2,corrida_1,0-nmol/mol,part_3,4,11-20,0.1403234099,0.1387877393
no2,corrida_1,0-nmol/mol,part_3,4,21-30,0.07908220219,0.1779307242
no2,corrida_1,0-nmol/mol,ref,1,1-10,0.1283666954,0.2208621064
no2,corrida_1,0-nmol/mol,ref,1,11-20,0.1822125773,0.1671105869
